"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"61",826,376,592,1168,412,520,1312,778,988,412,1054,646,826,1054,1126,1066,892,838,1142,910,1414,910,1468,838,1012,1156,766,586,1312,1012,592,736,766,736,1414,1418,1304,1148,1358,614,1358,1256,932,1112,1112,296,380,188,108,98,380,296,374,366,272,188,198,198,374,266,0,374,272,296,206,302,108,266,572,258,296,258,636,380,296,98,90,296,188,366,296,380,296,90,206,212,374,366,650,206,198,206,198,188,302,366,644
"62",1174,569,959,1403,779,713,1547,1013,1223,779,1247,994,1174,1247,1474,1259,1259,1205,1414,1103,1649,1103,1703,1205,1205,1349,959,779,1547,1205,959,1103,959,1103,1649,1696,1594,1438,1624,904,1636,1534,1198,1390,1390,296,90,296,374,276,188,296,108,188,296,198,296,272,276,276,374,0,198,188,266,580,266,108,850,296,90,296,674,296,380,374,296,188,296,296,272,198,198,380,276,574,168,188,674,168,380,374,188,380,496,296,654
"63",1078,467,851,1292,671,611,1436,902,1112,671,1145,898,1078,1145,1378,1157,1151,1097,1306,1001,1538,1001,1592,1097,1103,1247,857,677,1436,1103,851,995,857,995,1538,1594,1480,1324,1534,790,1534,1432,1108,1288,1288,296,108,188,380,258,380,206,198,206,272,90,296,374,366,258,272,198,0,206,296,478,380,90,748,98,198,266,644,380,296,188,188,296,98,206,296,108,198,266,366,484,366,374,650,366,374,296,296,188,400,374,636
"64",1109,652,874,1435,694,796,1579,1045,1255,694,1330,929,1109,1330,1409,1342,1174,1120,1414,1186,1681,1186,1735,1120,1288,1432,1042,862,1579,1288,874,1018,1042,1018,1681,1690,1588,1432,1618,898,1630,1528,1192,1384,1384,366,98,366,296,296,258,108,296,98,366,296,380,266,380,380,296,188,206,0,90,574,188,296,844,206,188,374,752,366,198,198,380,258,108,206,90,206,296,374,296,496,272,266,744,188,374,198,272,198,580,374,758
"65",1025,574,784,1363,604,718,1507,973,1183,604,1252,845,1025,1252,1325,1264,1084,1030,1342,1108,1609,1108,1663,1030,1210,1354,964,784,1507,1210,784,928,964,928,1609,1612,1510,1354,1540,820,1552,1450,1114,1306,1306,366,188,366,206,206,258,198,374,188,366,380,296,188,374,374,206,266,296,90,0,496,98,374,766,296,272,380,758,366,198,108,296,258,198,296,90,296,380,296,206,406,266,272,744,98,296,108,188,198,496,380,752
"66",908,374,686,1130,506,518,1274,740,950,506,1052,728,908,1052,1208,1064,986,932,1056,908,1376,908,1430,932,1010,1154,764,584,1274,1010,686,830,764,830,1376,1116,1218,1062,1164,528,1056,954,738,810,810,484,574,400,386,400,496,562,568,476,400,400,386,308,484,400,302,580,478,574,496,0,398,484,270,380,496,380,758,484,568,400,302,496,478,464,580,562,484,212,484,90,496,476,778,496,296,484,398,484,90,464,778
"67",934,484,700,1276,520,628,1420,886,1096,520,1162,754,934,1162,1234,1174,1000,946,1250,1018,1522,1018,1576,946,1120,1264,874,694,1420,1120,700,844,874,844,1522,1514,1412,1256,1442,722,1454,1352,1016,1208,1208,296,272,296,108,206,272,296,374,258,380,296,198,90,374,374,108,266,380,188,98,398,0,374,668,366,188,366,744,380,296,206,198,188,296,366,188,380,296,198,206,308,266,258,758,98,198,206,90,296,398,366,752
"68",1066,461,851,1295,671,605,1439,905,1115,671,1139,886,1066,1139,1366,1151,1151,1097,1306,995,1541,995,1595,1097,1097,1241,851,671,1439,1097,851,995,851,995,1541,1600,1486,1330,1540,796,1540,1438,1114,1294,1294,296,198,188,374,168,296,296,108,296,188,90,296,380,276,168,266,108,90,296,374,484,374,0,754,188,198,188,566,296,380,266,188,296,188,296,380,198,198,272,276,478,276,296,566,276,380,374,296,272,400,296,546
"69",1142,644,956,1112,776,752,1256,722,932,776,1286,962,1142,1286,1442,1334,1256,1202,1290,1178,1358,1178,1412,1202,1280,1388,1034,854,1256,1280,956,1100,1034,1100,1358,846,948,792,894,258,786,684,468,540,540,754,844,670,656,670,766,832,838,746,670,670,656,578,754,670,572,850,748,844,766,270,668,754,0,650,766,650,524,754,838,670,572,766,748,734,850,832,754,482,754,360,766,746,544,766,566,754,668,754,360,734,544
"70",1060,526,838,1276,658,670,1420,886,1096,658,1204,880,1060,1204,1360,1216,1138,1084,1208,1060,1522,1060,1576,1084,1162,1306,916,736,1420,1162,838,982,916,982,1522,1496,1382,1226,1436,692,1436,1334,1010,1190,1190,380,206,272,366,272,296,206,296,108,188,188,366,276,296,188,258,296,98,206,296,380,366,188,650,0,296,168,546,296,296,188,258,380,98,108,296,206,296,168,380,470,296,276,566,380,276,296,366,188,470,276,566
"71",1108,491,887,1325,707,635,1469,935,1145,707,1169,928,1108,1169,1408,1181,1187,1133,1342,1025,1571,1025,1625,1133,1127,1271,881,701,1469,1127,887,1031,881,1031,1571,1612,1510,1354,1540,820,1552,1450,1114,1306,1306,206,90,206,296,366,266,296,198,188,374,108,206,188,366,366,296,90,198,188,272,496,188,198,766,296,0,380,758,374,374,380,206,98,296,296,266,198,108,296,366,496,258,272,752,258,296,380,98,374,406,380,744
"72",1048,514,844,1276,664,658,1420,886,1096,664,1192,868,1048,1192,1348,1204,1144,1090,1196,1048,1522,1048,1576,1090,1150,1294,904,724,1420,1150,844,988,904,988,1522,1496,1382,1226,1436,692,1436,1334,1010,1190,1190,296,374,188,366,188,128,374,296,276,20,272,366,276,128,20,258,296,266,374,380,380,366,188,650,168,380,0,378,128,296,272,258,296,266,276,296,374,380,168,296,470,128,108,398,296,276,380,366,188,470,108,398
