"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173"
"90",6,8,10,10,8,8,12,8,12,10,8,16,4,10,10,8,8,8,14,14,14,6,10,8,12,8,10,10,6,8,12,6,10,10,12,16,14,8,10,14,10,10,10,6,4,8,14,12,10,8,6,14,10,14,6,8,8,14,10,10,10,10,14,10,12,10,10,10,8,10,8,6,14,10,10,10,2,14,6,14,12,14,12,6,14,18,6,12,34,0,20,8,12,8,38,24,28,4,42,42,10,10,38,18,12,42,48,40,20,44,18,46,42,38,42,16,40,10,12,42,42,40,42,44,42,28,16,46,46,20,40,12,12,12,10,14,6,8,12,12,8,14,8,6,16,10,2,8,8,6,8,8,6,8,12,6,2,8,10,2,12,8,6,8,10,8,12,8,12,6,8,10,8
"91",40,10,38,14,40,38,40,16,14,36,44,40,38,10,10,14,40,36,42,38,36,36,8,16,36,38,36,8,34,28,24,26,16,16,20,16,26,20,24,24,22,24,24,20,22,26,18,24,22,22,20,18,20,24,22,24,22,22,22,22,22,24,24,24,18,20,22,24,20,20,24,20,20,20,22,20,20,22,24,18,24,22,16,16,20,20,20,18,14,20,0,8,14,14,38,22,26,2,42,40,10,12,42,18,8,42,44,40,18,50,20,40,42,40,44,14,38,8,12,42,44,42,48,44,42,26,18,46,44,24,42,12,10,10,6,12,12,8,14,12,12,12,10,8,10,8,10,6,6,6,4,8,6,8,14,8,8,8,2,4,10,8,12,14,10,8,8,8,10,12,6,10,6
"92",18,18,24,18,16,22,22,22,22,18,20,20,20,20,22,18,24,26,22,18,22,20,22,22,24,16,26,22,22,18,22,24,22,20,24,22,24,24,24,24,22,20,24,18,22,20,22,18,20,18,20,18,6,18,20,40,38,4,36,8,38,40,38,10,12,40,40,34,40,6,8,8,40,42,38,44,40,40,18,14,44,42,38,18,38,16,12,12,4,8,8,0,12,8,8,22,24,40,42,40,10,10,38,18,44,42,46,42,18,36,18,44,42,40,44,16,38,44,14,44,42,44,48,44,42,24,18,4,40,28,44,14,8,12,8,16,10,12,14,6,12,12,8,16,18,12,10,8,4,8,10,6,10,8,12,10,10,6,10,10,8,10,12,4,6,14,6,8,10,6,2,8,6
"93",8,14,10,10,14,14,14,16,10,12,14,6,14,12,14,6,10,12,12,10,12,10,8,8,10,12,14,12,10,8,8,10,12,10,10,10,12,8,10,12,10,10,12,14,8,16,14,6,6,12,10,6,10,6,8,10,10,12,10,8,10,12,12,14,8,12,8,6,6,14,6,12,12,8,8,8,10,10,10,10,8,16,10,12,8,14,12,14,10,12,14,12,0,10,16,16,26,44,42,40,18,12,42,16,6,42,46,36,18,44,20,44,42,38,44,14,18,40,10,38,44,40,48,42,42,26,14,44,44,26,40,12,12,10,14,12,10,10,10,12,10,14,6,12,12,10,8,12,4,10,6,6,6,8,10,6,4,8,8,4,10,10,8,6,6,8,8,6,10,8,12,10,6
"94",12,12,12,12,8,14,8,8,8,10,10,12,10,12,8,14,16,44,40,8,40,10,42,44,44,6,12,44,40,40,42,10,8,4,40,44,42,48,42,44,18,12,48,44,42,18,42,16,14,16,6,12,8,8,16,14,12,14,14,12,16,14,14,12,4,14,12,16,8,12,10,10,14,10,10,12,12,12,12,10,8,10,10,10,12,10,10,14,10,8,14,8,10,0,42,18,24,6,42,44,14,12,40,14,36,36,44,40,10,42,18,44,40,40,42,16,38,44,14,42,44,40,44,44,42,24,20,6,46,26,44,16,10,12,12,12,12,10,8,14,4,10,8,10,12,12,12,6,8,4,4,6,4,8,10,2,6,12,14,6,8,10,4,8,8,6,8,10,8,4,4,12,8
"95",14,8,10,10,12,12,12,12,10,14,12,4,12,8,8,6,4,14,14,10,12,14,12,10,10,10,10,6,12,14,8,10,10,8,10,14,10,6,10,12,10,14,8,8,10,14,10,14,8,14,8,8,12,6,12,12,10,8,12,8,12,4,10,12,8,8,10,8,36,44,14,42,16,44,42,46,12,16,40,46,44,40,12,12,10,40,36,44,44,38,38,8,16,42,0,20,24,4,42,40,14,14,42,14,36,40,42,38,20,18,18,42,38,42,46,14,22,44,8,42,44,36,44,40,42,26,16,46,42,26,44,12,12,14,12,12,10,12,6,14,2,14,8,14,14,4,8,4,12,12,8,8,8,6,6,14,8,6,10,14,8,6,8,8,8,10,12,10,6,12,8,12,8
"96",38,40,8,38,28,26,28,14,22,20,18,24,24,24,22,24,22,26,22,22,26,18,24,20,26,20,22,22,22,26,18,18,24,24,20,20,18,20,22,20,18,26,24,20,22,22,20,22,18,20,24,18,20,18,22,24,22,22,20,24,22,16,22,20,22,16,16,22,24,22,24,24,20,20,20,22,18,18,24,24,22,22,22,20,20,26,18,18,22,24,22,22,16,18,20,0,28,4,42,40,16,12,42,14,36,36,46,36,16,4,18,42,44,38,44,18,18,38,12,38,46,40,46,44,46,28,16,42,42,26,42,14,12,14,6,12,6,10,10,14,6,14,10,12,14,12,8,4,10,8,14,6,8,10,10,6,10,10,10,6,14,10,6,10,8,12,8,8,8,6,14,8,6
"97",24,24,26,18,26,20,20,20,20,20,22,18,18,20,20,24,18,20,22,20,18,20,44,46,18,42,18,44,44,50,14,18,42,48,46,44,20,18,14,46,44,46,46,42,46,4,18,44,46,44,4,42,28,26,30,20,24,20,20,30,28,26,26,26,28,28,26,26,28,20,30,24,28,22,24,26,22,26,24,24,26,26,26,24,22,20,24,24,24,28,26,24,26,24,24,28,0,40,42,42,16,14,40,16,42,40,40,42,20,36,16,44,42,42,40,10,20,40,14,38,46,42,44,46,46,22,18,44,38,24,44,16,10,12,8,12,12,12,10,14,6,14,6,12,14,8,14,12,10,12,10,10,10,10,12,8,10,10,4,4,6,10,12,4,10,6,10,10,6,6,10,10,6
"98",24,24,28,24,26,22,26,28,24,26,24,26,26,18,24,24,24,18,20,28,26,26,24,28,24,22,24,26,24,20,26,26,24,22,24,22,26,28,22,18,22,26,26,26,22,24,24,26,26,30,24,26,24,20,26,22,26,28,24,24,24,22,24,20,22,24,24,20,24,10,36,6,40,8,6,10,42,42,4,14,8,6,34,38,40,6,2,10,8,4,2,40,44,6,4,4,40,0,46,40,16,12,38,18,38,40,44,42,12,44,18,46,40,42,44,12,10,14,12,40,40,38,48,42,40,26,16,42,42,24,46,8,12,8,8,18,14,12,12,14,10,12,14,12,14,12,12,10,8,10,8,4,6,4,6,12,6,8,6,10,2,10,8,6,4,12,4,2,10,12,6,6,8
"99",2,44,40,42,40,40,46,44,44,44,42,42,46,40,42,36,40,44,44,42,42,42,42,42,44,46,42,44,42,40,44,42,42,44,46,44,42,42,42,44,44,38,46,44,40,42,46,44,40,40,42,44,46,46,40,42,44,44,44,44,40,44,44,44,40,38,40,44,44,40,46,42,44,42,44,42,44,40,44,44,44,38,42,40,46,44,44,40,42,42,42,42,42,42,42,42,42,46,0,42,18,42,40,14,38,38,44,44,16,42,18,44,40,40,44,18,10,8,10,40,46,42,46,46,46,24,14,42,42,28,44,10,12,12,2,14,12,10,12,6,10,12,12,10,8,16,8,6,6,10,10,12,6,10,8,8,8,12,6,6,12,6,10,10,12,6,6,2,6,8,6,10,4
