"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"23",4020,4160,152,4172,4312,0,4172,8382,4020,4464,8304,152,4324,11512,11742,7352,7582,7430,304,8230,11590,7504,0,4312,152,4172,8152,4160,30795,29931,30643,29779,31527,30511,31375,30663,26923,29500,27075,26191,31351,30771,30619,30639,30487,30199,32015,24177,24025,31863,29348,31503,31443,26343,30351,31383,31595,30931,31231,31083,24909,24757,21496,21648,18360,18438,18508,18216,18064,18586,18138,17986
"24",1412,152,4160,1260,0,4312,1260,10790,1412,152,10712,4160,1412,7504,7430,11664,11590,11742,4312,10942,7582,11512,4312,0,4464,1564,10864,152,26523,25659,26675,25811,27255,26543,27407,26391,28715,30988,28563,27983,33143,32259,32411,32127,32279,31991,33503,25665,25817,33655,31140,32991,33235,27831,31839,32871,33083,32723,33023,32571,26397,26549,18888,18736,15448,15526,15596,15304,15456,15674,15226,15378
"25",4172,4312,304,4324,4464,152,4324,8230,4172,4312,8152,304,4172,11360,11590,7200,7430,7278,152,8078,11438,7352,152,4464,0,4020,8000,4312,30655,29791,30503,29639,31515,30499,31363,30651,26911,29360,27063,26051,31339,30631,30479,30487,30335,30047,32003,24037,23885,31851,29208,31491,31291,26203,30199,31231,31443,30779,31079,30931,24897,24745,21356,21508,18220,18298,18368,18076,17924,18446,17998,17846
"26",152,1412,4324,304,1564,4172,304,12050,152,1412,11972,4324,152,8460,8690,11220,11450,11298,4172,11898,8538,11372,4172,1564,4020,0,11820,1412,27723,26859,27571,26707,28583,27567,28431,27719,29739,32188,29891,28879,34167,33459,33307,33315,33163,32875,34831,26865,26713,34679,32036,34319,34119,29031,33027,34059,34271,33607,33907,33759,27725,27573,17336,17488,14200,14278,14348,14056,13904,14426,13978,13826
"27",11972,10712,8304,12124,10864,8152,12124,230,11972,10712,152,8304,11972,3360,3590,800,1030,878,8152,78,3438,952,8152,10864,8000,11820,0,10712,37095,36231,36943,36079,37955,36939,37803,37091,33351,35044,33503,32491,37023,36315,36163,36171,36019,35731,37687,30477,30325,37535,34892,37175,36975,32643,35883,36915,37127,36463,36763,36615,31337,31185,29156,29308,26020,26098,26168,25876,25724,26246,25798,25646
"28",1260,0,4312,1412,152,4160,1412,10942,1260,304,10864,4312,1564,7352,7582,11512,11742,11590,4464,10790,7430,11664,4160,152,4312,1412,10712,0,26675,25811,26523,25659,27407,26391,27255,26543,28563,31140,28715,27831,32991,32411,32259,32279,32127,31839,33655,25817,25665,33503,30988,33143,33083,27983,31991,33023,33235,32571,32871,32723,26549,26397,18736,18888,15600,15678,15748,15456,15304,15826,15378,15226
"29",27863,26675,30643,27711,26523,30795,27711,36865,27863,26383,36943,30643,27571,33735,33505,37855,37625,37777,30503,37017,33657,37703,30795,26523,30655,27723,37095,26675,0,1728,152,1880,2432,4312,2584,4160,18932,24980,18780,16500,25952,23368,23520,24088,24240,23952,26312,14182,14334,26464,25132,25800,26000,16348,23800,25368,25848,25488,25520,25336,16614,16766,23473,23321,26440,25558,26588,25336,25488,25706,26218,26370
"30",26999,25811,29779,26847,25659,29931,26847,36001,26999,25519,36079,29779,26707,32871,32641,36991,36761,36913,29639,36153,32793,36839,29931,25659,29791,26859,36231,25811,1728,0,1880,152,4160,2584,4312,2432,20660,23252,20508,18228,24224,21640,21792,22360,22512,22224,24584,15910,16062,24736,23404,24072,24272,18076,22072,23640,24120,23760,23792,23608,18342,18494,21745,21593,24712,23830,24860,23608,23760,23978,24490,24642
"31",27711,26523,30795,27863,26675,30643,27863,37017,27711,26535,37095,30795,27723,33583,33657,37703,37777,37625,30655,36865,33505,37855,30643,26675,30503,27571,36943,26523,152,1880,0,1728,2584,4160,2432,4312,18780,25132,18932,16348,25800,23520,23368,24240,24088,23800,26464,14334,14182,26312,24980,25952,25848,16500,23952,25520,26000,25336,25368,25488,16766,16614,23321,23473,26592,25710,26740,25488,25336,25858,26370,26218
"32",26847,25659,29931,26999,25811,29779,26999,36153,26847,25671,36231,29931,26859,32719,32793,36839,36913,36761,29791,36001,32641,36991,29779,25811,29639,26707,36079,25659,1880,152,1728,0,4312,2432,4160,2584,20508,23404,20660,18076,24072,21792,21640,22512,22360,22072,24736,16062,15910,24584,23252,24224,24120,18228,22224,23792,24272,23608,23640,23760,18494,18342,21593,21745,24864,23982,25012,23760,23608,24130,24642,24490
"33",28595,27407,31375,28443,27255,31527,28443,37725,28595,27243,37803,31375,28431,34595,34365,38715,38485,38637,31363,37877,34517,38563,31527,27255,31515,28583,37955,27407,2432,4160,2584,4312,0,1880,152,1728,16500,27412,16348,18932,23520,25800,25952,25752,25904,25616,23880,16614,16766,24032,27564,23368,24592,18780,25464,24984,24440,24080,25136,23928,14182,14334,25905,25753,28872,27990,29020,27768,27920,28138,28650,28802
"34",27579,26391,30663,27731,26543,30511,27731,37013,27579,26531,37091,30663,27719,33579,33653,37699,37773,37621,30651,36861,33501,37851,30511,26543,30499,27567,36939,26391,4312,2584,4160,2432,1880,0,1728,152,18076,25836,18228,20508,21640,24224,24072,24176,24024,23736,22304,18494,18342,22152,25684,21792,22712,20660,23888,23408,22864,22200,23256,22352,16062,15910,24025,24177,27296,26414,27444,26192,26040,26562,27074,26922
"35",28443,27255,31527,28595,27407,31375,28595,37877,28443,27395,37955,31527,28583,34443,34517,38563,38637,38485,31515,37725,34365,38715,31375,27407,31363,28431,37803,27255,2584,4312,2432,4160,152,1728,0,1880,16348,27564,16500,18780,23368,25952,25800,25904,25752,25464,24032,16766,16614,23880,27412,23520,24440,18932,25616,25136,24592,23928,24984,24080,14334,14182,25753,25905,29024,28142,29172,27920,27768,28290,28802,28650
"36",27731,26543,30511,27579,26391,30663,27579,36861,27731,26379,36939,30511,27567,33731,33501,37851,37621,37773,30499,37013,33653,37699,30663,26391,30651,27719,37091,26543,4160,2432,4312,2584,1728,152,1880,0,18228,25684,18076,20660,21792,24072,24224,24024,24176,23888,22152,18342,18494,22304,25836,21640,22864,20508,23736,23256,22712,22352,23408,22200,15910,16062,24177,24025,27144,26262,27292,26040,26192,26410,26922,27074
"37",29751,28563,27075,29903,28715,26923,29903,33425,29751,28703,33503,27075,29891,35751,35825,34111,34185,34033,27063,33273,35673,34263,26923,28715,26911,29739,33351,28563,18932,20660,18780,20508,16500,18076,16348,18228,0,11216,152,2432,7020,9604,9452,9556,9404,9116,7684,4750,4598,7532,11064,7172,8092,2584,9268,8788,8244,7580,8636,7732,2318,2166,21570,21722,22580,21698,22728,21476,21324,21846,22358,22206
"38",32328,31140,29348,32176,30988,29500,32176,34814,32328,30848,34892,29348,32036,37444,37214,35804,35574,35726,29208,34966,37366,35652,29500,30988,29360,32188,35044,31140,24980,23252,25132,23404,27412,25836,27564,25684,11216,0,11064,8784,4196,1612,1764,2332,2484,2196,4556,10798,10950,4708,152,4044,4244,8632,2044,3612,4092,3732,3764,3580,13230,13382,21242,21090,21948,21066,22096,20844,20996,21214,21726,21878
"39",29903,28715,26923,29751,28563,27075,29751,33273,29903,28551,33351,26923,29739,35903,35673,34263,34033,34185,26911,33425,35825,34111,27075,28563,27063,29891,33503,28715,18780,20508,18932,20660,16348,18228,16500,18076,152,11064,0,2584,7172,9452,9604,9404,9556,9268,7532,4598,4750,7684,11216,7020,8244,2432,9116,8636,8092,7732,8788,7580,2166,2318,21722,21570,22428,21546,22576,21324,21476,21694,22206,22358
"40",29019,27831,26343,29171,27983,26191,29171,32565,29019,27843,32643,26343,29031,34891,34965,33251,33325,33173,26203,32413,34813,33403,26191,27983,26051,28879,32491,27831,16500,18228,16348,18076,18932,20508,18780,20660,2432,8784,2584,0,9452,7172,7020,7892,7740,7452,10116,2318,2166,9964,8632,9604,9500,152,7604,9172,9652,8988,9020,9140,4750,4598,19138,19290,20148,19266,20296,19044,18892,19414,19926,19774
"41",34179,32991,31503,34331,33143,31351,34331,37097,34179,33131,37175,31503,34319,39423,39497,37783,37857,37705,31491,36945,39345,37935,31351,33143,31339,34167,37023,32991,25952,24224,25800,24072,23520,21640,23368,21792,7020,4196,7172,9452,0,2584,2432,2536,2384,2096,664,11770,11618,512,4044,152,1072,9604,2248,1768,1224,560,1616,712,9338,9186,25134,25286,26144,25262,26292,25040,24888,25410,25922,25770
"42",33599,32411,30619,33447,32259,30771,33447,36085,33599,32119,36163,30619,33307,38715,38485,37075,36845,36997,30479,36237,38637,36923,30771,32259,30631,33459,36315,32411,23368,21640,23520,21792,25800,24224,25952,24072,9604,1612,9452,7172,2584,0,152,720,872,584,2944,9186,9338,3096,1764,2432,2632,7020,432,2000,2480,2120,2152,1968,11618,11770,22854,22702,23560,22678,23708,22456,22608,22826,23338,23490
"43",33447,32259,30771,33599,32411,30619,33599,36237,33447,32271,36315,30771,33459,38563,38637,36923,36997,36845,30631,36085,38485,37075,30619,32411,30479,33307,36163,32259,23520,21792,23368,21640,25952,24072,25800,24224,9452,1764,9604,7020,2432,152,0,872,720,432,3096,9338,9186,2944,1612,2584,2480,7172,584,2152,2632,1968,2000,2120,11770,11618,22702,22854,23712,22830,23860,22608,22456,22978,23490,23338
"44",33467,32279,30487,33315,32127,30639,33315,35941,33467,31975,36019,30487,33163,38571,38341,36931,36701,36853,30335,36093,38493,36779,30639,32127,30487,33315,36171,32279,24088,22360,24240,22512,25752,24176,25904,24024,9556,2332,9404,7892,2536,720,872,0,152,440,2640,9906,10058,2792,2484,2384,2232,7740,288,1280,2080,1976,1432,1824,11570,11722,23574,23422,24280,23398,24428,23176,23328,23546,24058,24210
"45",33315,32127,30639,33467,32279,30487,33467,36093,33315,32127,36171,30639,33315,38419,38493,36779,36853,36701,30487,35941,38341,36931,30487,32279,30335,33163,36019,32127,24240,22512,24088,22360,25904,24024,25752,24176,9404,2484,9556,7740,2384,872,720,152,0,288,2792,10058,9906,2640,2332,2536,2080,7892,440,1432,2232,1824,1280,1976,11722,11570,23422,23574,24432,23550,24580,23328,23176,23698,24210,24058
"46",33027,31839,30351,33179,31991,30199,33179,35805,33027,31839,35883,30351,33027,38131,38205,36491,36565,36413,30199,35653,38053,36643,30199,31991,30047,32875,35731,31839,23952,22224,23800,22072,25616,23736,25464,23888,9116,2196,9268,7452,2096,584,432,440,288,0,2760,9770,9618,2608,2044,2248,2048,7604,152,1720,2200,1536,1568,1688,11434,11282,23134,23286,24144,23262,24292,23040,22888,23410,23922,23770
"47",34843,33655,31863,34691,33503,32015,34691,37457,34843,33491,37535,31863,34679,40087,39857,38447,38217,38369,31851,37609,40009,38295,32015,33503,32003,34831,37687,33655,26312,24584,26464,24736,23880,22304,24032,22152,7684,4556,7532,10116,664,2944,3096,2640,2792,2760,0,12130,12282,152,4708,512,712,9964,2608,1616,560,1224,1768,1072,9698,9850,25798,25646,26504,25622,26652,25400,25552,25770,26282,26434
