"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135"
"21",34,34,32,32,30,28,28,30,24,28,28,28,28,28,30,36,32,30,34,30,0,32,28,6,16,30,26,22,24,18,28,28,20,2,32,30,30,12,22,22,8,30,24,2,24,24,4,22,22,20,24,6,22,22,22,26,16,30,8,30,6,28,8,32,6,30,28,22,24,30,26,18,24,20,18,26,24,18,28,34,34,32,32,32,30,18,22,32,18,26,24,38,38,36,38,16,4,10,20,8,8,20,8,10,14,10,12,10,10,10,20,8,16,10,12,16,14,10,16,18,12,14,12,4,16,18,18,12,14,2,8,14,16,12,20
"22",34,30,32,30,28,32,36,28,34,34,34,30,32,30,34,36,28,30,28,30,32,0,34,8,14,26,20,24,8,14,28,26,24,6,30,28,36,10,22,22,4,28,26,10,28,22,4,24,28,14,32,8,20,20,20,22,12,30,6,28,6,26,4,26,12,22,28,22,26,18,24,18,26,20,4,28,22,14,34,38,38,30,34,30,30,16,24,28,22,26,22,36,36,34,38,14,4,20,18,10,10,16,14,8,10,12,22,8,12,14,10,16,14,12,10,12,12,18,18,4,14,12,6,16,10,16,24,8,14,8,12,8,8,8,10
"23",28,28,32,32,30,30,26,28,28,28,34,30,32,30,26,30,28,26,26,32,28,34,0,8,10,30,30,32,2,8,26,30,26,18,32,34,26,8,22,28,4,26,28,4,24,24,10,22,24,16,32,8,20,18,22,24,8,26,16,32,8,20,8,30,16,24,26,30,24,20,18,18,32,22,8,28,24,4,30,34,36,40,32,32,28,18,28,30,18,26,24,36,38,36,36,16,10,14,8,10,6,18,10,14,14,12,22,10,14,10,10,10,16,14,24,12,12,14,16,12,16,14,16,12,16,14,18,12,16,22,8,14,22,10,12
"24",24,28,30,30,34,36,28,28,28,38,32,34,32,32,8,4,6,6,6,10,6,8,8,0,20,26,30,26,8,6,24,32,26,18,30,32,24,20,24,24,4,26,26,8,22,22,6,24,24,30,32,8,22,18,26,26,6,30,12,36,6,30,20,30,10,22,24,24,24,22,28,30,28,20,4,24,22,4,32,36,38,36,30,28,30,28,24,30,22,22,22,36,30,38,36,8,10,12,22,6,8,18,10,18,12,8,18,4,4,10,12,14,18,14,18,16,6,14,10,14,14,16,20,16,18,14,24,6,16,16,12,14,14,4,14
"25",8,8,8,4,10,2,8,2,6,10,4,6,10,22,20,18,6,12,8,24,16,14,10,20,0,24,22,28,6,18,24,24,30,18,28,24,28,20,30,26,10,28,28,6,22,20,6,26,24,30,28,8,16,24,26,24,14,26,18,28,6,30,16,30,8,24,22,26,24,30,28,28,30,24,22,24,24,14,26,34,30,36,28,26,28,32,30,30,24,24,24,34,36,36,34,8,20,14,16,8,8,16,14,10,14,12,16,14,10,6,14,14,18,8,18,16,14,16,14,12,8,14,12,18,16,20,20,8,14,14,8,12,14,10,18
"26",24,20,20,28,28,28,26,24,22,20,22,26,26,28,28,26,24,26,32,30,30,26,30,26,24,0,26,24,8,18,26,26,32,6,28,28,34,22,26,24,2,24,26,4,24,18,16,24,28,28,28,2,20,20,28,26,16,30,2,34,16,22,18,26,10,26,24,24,18,22,20,28,26,20,18,24,26,18,22,32,36,34,30,32,28,30,34,38,16,26,26,34,40,42,36,16,14,22,14,10,8,18,8,14,12,10,22,8,10,14,18,16,12,10,14,2,12,8,12,8,14,22,10,18,14,14,10,10,18,8,14,12,8,8,18
"27",24,26,24,20,22,20,24,22,24,24,22,26,28,28,26,30,26,28,26,28,26,20,30,30,22,26,0,20,6,20,20,24,24,8,30,28,30,20,24,20,6,22,24,4,22,20,16,28,22,30,26,6,20,26,28,24,18,34,8,34,18,26,6,30,18,22,24,20,20,24,24,26,22,26,10,22,24,16,30,36,40,34,32,36,28,32,22,34,18,22,24,34,36,38,36,12,10,16,16,16,10,10,10,16,8,18,20,2,12,10,12,12,16,10,10,8,12,10,12,12,10,22,16,18,10,20,14,14,16,12,8,10,10,6,14
"28",26,26,22,28,24,30,30,20,24,26,26,26,22,24,26,24,26,24,22,20,22,24,32,26,28,24,20,0,6,18,24,26,24,8,26,28,32,28,28,24,18,24,22,8,18,22,18,30,30,28,34,4,20,16,26,22,16,24,6,34,16,26,10,28,16,22,26,26,22,22,24,24,28,30,10,26,28,18,24,40,36,16,42,26,22,28,26,34,16,28,28,30,34,40,38,22,16,10,14,12,16,20,12,18,12,18,14,24,14,4,16,16,20,12,12,12,10,12,12,4,8,22,12,18,16,10,12,8,14,20,10,10,20,14,12
"29",28,22,24,22,26,20,28,20,20,26,24,26,32,22,20,24,30,26,28,26,24,8,2,8,6,8,6,6,0,30,24,28,24,22,24,30,30,24,24,22,18,22,24,6,20,30,8,28,22,28,34,6,20,20,24,20,30,26,16,30,6,26,8,34,18,26,30,22,18,24,24,24,24,24,16,34,30,30,26,32,34,20,36,32,24,26,26,32,18,30,30,30,36,36,42,14,22,22,14,10,12,18,16,14,14,10,12,18,18,16,14,16,14,18,18,8,8,10,16,12,12,8,10,20,14,2,18,22,16,12,10,14,12,4,14
"30",8,4,6,8,10,4,6,6,6,4,10,6,6,4,14,18,22,6,6,10,18,14,8,6,18,18,20,18,30,0,24,24,34,14,26,26,28,26,28,20,20,24,26,8,18,24,4,26,22,26,26,6,20,22,26,22,28,26,12,32,4,22,20,32,16,26,28,22,18,4,20,22,24,22,22,28,28,30,26,38,36,14,36,32,26,24,34,28,20,20,28,32,36,36,40,8,18,14,14,10,12,12,12,14,12,12,12,16,16,16,18,2,10,18,18,10,10,10,18,18,14,10,14,12,10,18,12,18,18,20,12,10,18,6,12
