"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146"
"48",318,377,178,266,265,282,439,305,220,350,367,454,233,265,471,178,439,422,45,161,146,161,367,305,367,146,318,409,282,305,350,77,305,45,273,283,335,350,318,251,454,129,146,178,367,94,471,0,116,84,471,77,77,234,234,367,335,233,422,350,189,251,335,266,178,305,266,367,282,188,161,454,454,273,283,350,116,283,350,146,367,161,367,266,265,318,305,318,471,367,471,161,266,283,367,454,367,283,350,251,265,233,422,221,266,116,318,282,220,335,335,178,350,221,94,471,178,283,250,350,454,273,335,318,350,189,367,367,377,283,318,94,32,266,161,377,129,221,116,350,178,178,32,161,305,350
"49",266,409,178,350,265,282,471,305,220,350,251,422,265,265,471,146,471,454,161,129,178,161,251,273,283,94,350,377,282,221,318,129,305,161,305,367,367,318,350,367,422,161,178,62,335,146,471,116,0,32,471,161,161,350,350,367,283,265,454,350,305,367,367,318,62,189,350,283,250,220,129,454,422,221,335,234,116,367,266,94,251,77,251,318,233,266,221,350,439,367,471,161,318,335,283,454,335,335,350,367,265,265,454,305,350,84,266,282,188,283,283,94,318,273,178,439,94,367,282,266,422,305,367,266,266,305,335,335,409,335,266,146,84,350,45,409,77,305,32,350,178,178,116,45,189,266
"50",234,377,178,350,265,282,439,305,220,350,283,454,233,265,471,178,439,422,129,161,146,161,283,305,283,62,318,409,282,221,350,161,305,129,273,367,335,350,318,335,454,129,146,94,367,178,471,84,32,0,471,161,161,318,318,367,251,233,422,350,273,335,335,350,94,221,350,283,282,188,161,454,454,189,367,266,116,367,266,62,283,77,283,350,265,234,221,318,471,367,471,161,350,367,283,454,367,367,350,335,265,233,422,305,350,116,234,282,220,251,251,94,350,305,178,471,94,367,250,266,454,273,335,234,266,273,367,367,377,367,234,178,116,350,77,377,45,305,32,350,178,178,116,77,221,266
"51",426,283,310,439,206,189,49,355,251,310,409,238,238,251,17,325,49,283,426,342,325,355,409,198,205,426,153,283,206,250,387,471,355,471,198,205,342,198,198,426,49,387,342,426,136,426,17,471,471,471,0,394,439,426,237,293,237,283,238,166,471,409,325,237,409,282,250,394,238,283,387,17,238,471,409,426,355,394,205,409,426,439,237,471,238,426,439,342,32,104,206,310,282,220,377,62,153,237,310,220,206,238,94,250,205,387,471,189,283,220,409,377,342,282,377,221,394,188,238,439,94,387,136,282,394,282,325,342,94,426,237,409,471,439,426,283,426,439,439,121,310,293,439,471,471,250
"52",305,454,101,234,188,205,426,318,233,273,322,409,220,233,394,133,426,454,32,116,133,129,322,350,290,133,305,454,205,318,350,77,318,77,350,206,322,350,350,238,409,161,133,133,322,49,394,77,161,161,394,0,45,221,221,290,322,265,409,318,266,238,322,221,133,350,234,290,237,265,161,377,409,350,238,305,129,206,273,133,322,129,322,266,220,305,318,305,426,290,394,84,266,238,290,422,322,238,273,238,188,220,454,234,189,161,350,205,265,322,322,101,305,266,17,426,101,206,237,318,454,350,322,350,273,266,322,322,454,238,305,49,77,234,116,454,116,234,129,273,101,101,45,161,350,318
"53",350,454,146,189,233,250,471,318,233,318,367,454,265,188,439,178,471,409,77,161,178,84,367,350,335,178,350,454,250,318,305,32,318,32,350,251,367,305,305,283,454,116,178,178,367,94,439,77,161,161,439,45,0,266,266,335,367,220,454,273,266,283,367,266,178,350,189,335,282,265,116,422,454,350,283,350,129,251,318,178,367,84,367,221,265,350,318,350,471,335,439,129,221,283,335,377,367,283,318,283,233,265,409,234,234,161,305,250,265,367,367,146,350,266,62,471,146,251,282,273,409,350,367,305,318,266,367,367,454,283,350,94,77,189,161,454,161,234,129,318,146,146,45,116,350,273
"54",84,233,322,77,409,426,394,161,454,116,133,220,377,454,426,322,394,233,189,305,290,350,133,350,322,290,273,265,426,350,161,266,161,234,318,238,101,350,318,17,409,318,290,322,322,238,426,234,350,318,426,221,266,0,189,133,290,422,188,350,45,17,101,221,322,350,266,133,426,422,350,409,220,129,49,116,350,49,305,290,133,350,322,77,409,84,161,84,426,322,237,305,266,238,133,454,322,238,116,206,409,377,422,266,221,350,129,426,454,290,101,322,116,266,238,237,322,238,394,161,454,129,290,318,116,234,133,133,422,49,273,238,266,77,305,233,273,77,350,305,322,322,266,350,161,350
"55",273,422,322,266,409,426,205,350,454,305,322,409,377,454,237,322,205,422,189,305,290,350,322,161,133,290,84,454,426,161,350,266,350,234,129,49,290,161,129,206,220,318,290,322,133,238,237,234,350,318,237,221,266,189,0,322,101,422,377,161,234,206,290,32,322,161,77,322,426,422,350,220,409,318,238,305,350,238,116,290,322,350,133,266,409,273,350,273,237,133,426,305,77,49,322,265,133,49,305,17,409,377,233,77,32,350,318,426,454,101,290,322,305,77,238,426,322,49,394,350,265,318,101,129,305,45,322,322,233,238,84,238,266,266,305,422,273,266,350,116,322,322,266,350,350,161
"56",133,198,206,146,310,293,342,62,355,17,116,153,342,355,310,221,342,198,322,238,221,251,116,283,290,322,238,198,310,335,94,367,62,367,283,290,49,283,283,133,342,283,238,322,221,322,310,367,367,367,293,290,335,133,322,0,322,387,153,251,178,116,32,322,305,367,335,101,342,387,283,310,153,178,116,133,251,101,290,305,133,335,322,178,342,133,146,49,325,189,121,206,367,305,84,355,238,322,17,305,310,342,387,335,290,283,178,293,387,305,116,273,49,367,273,136,290,273,342,146,387,94,221,367,101,367,32,49,387,133,322,305,367,146,322,198,322,146,335,206,206,189,335,367,178,335
"57",206,439,305,367,426,426,188,367,471,322,238,426,394,471,220,322,188,439,290,322,290,367,238,178,32,189,101,471,409,94,367,367,367,335,146,116,273,178,146,273,237,335,273,221,133,305,220,335,283,251,237,322,367,290,101,322,0,439,394,178,335,290,290,133,238,94,178,221,409,439,367,237,426,251,322,238,367,305,49,206,221,283,32,367,426,206,283,290,237,133,409,322,178,133,238,282,116,116,322,101,426,394,250,178,133,367,251,426,471,17,206,238,322,178,322,426,221,133,377,283,282,335,101,62,238,146,322,305,250,305,17,322,367,367,238,439,206,367,283,133,305,322,367,283,283,94
"58",422,234,198,409,77,94,251,370,77,370,471,266,45,32,283,198,251,189,233,181,166,136,471,370,471,250,338,266,94,454,325,220,370,188,338,471,355,325,293,439,266,104,166,282,387,282,283,233,265,233,283,265,220,422,422,387,439,0,234,325,422,439,355,454,282,454,409,471,94,45,136,266,266,422,471,454,181,471,454,250,471,220,471,409,77,422,454,338,283,387,283,181,409,471,471,221,387,471,370,439,77,45,189,454,454,181,377,94,77,439,439,282,370,454,282,283,282,471,62,409,221,338,355,377,454,422,387,387,234,471,422,282,265,409,265,234,233,454,265,370,198,198,265,220,454,409
"59",188,45,342,265,221,238,206,181,266,136,237,32,189,266,238,342,206,45,377,325,310,370,237,370,426,394,293,77,238,454,181,454,181,422,338,426,121,370,338,205,221,338,310,426,342,426,238,422,454,422,238,409,454,188,377,153,394,234,0,370,233,205,121,409,426,454,454,237,238,234,370,221,32,233,237,220,370,237,409,394,237,454,426,265,221,188,265,104,238,342,49,325,454,426,237,266,342,426,136,394,221,189,234,454,409,370,233,238,266,394,205,426,136,454,426,49,426,426,206,265,266,149,310,422,220,422,153,153,234,237,377,426,454,265,409,45,377,265,454,325,342,342,454,454,265,454
"60",350,370,251,273,338,355,198,234,338,234,367,370,370,293,166,283,198,325,350,266,283,189,367,77,146,367,77,370,355,129,221,305,234,305,77,146,283,32,32,367,181,221,283,367,94,367,166,350,350,350,166,318,273,350,161,251,178,325,370,0,350,367,283,161,367,161,84,335,387,370,221,149,370,350,367,350,234,335,129,367,367,273,178,305,370,350,318,266,198,62,355,234,116,178,335,104,94,178,234,178,338,370,136,129,129,266,305,355,370,178,367,335,266,161,335,387,335,146,387,273,136,266,94,116,318,161,283,283,181,367,161,367,350,273,350,370,350,318,318,45,251,251,318,305,350,84
