"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"63",20,12,18,14,16,18,18,20,18,14,14,16,16,22,12,18,16,16,18,16,16,20,14,10,12,24,22,26,28,28,26,28,30,24,26,14,2,4,4,10,8,12,10,8,8,8,6,6,12,6,8,6,10,12,10,6,10,8,4,2,26,28,0,6,4,24,8,26,22,10,26,4
"64",28,30,30,28,26,32,26,24,12,10,10,4,6,8,10,8,10,10,12,12,2,8,12,8,6,10,10,10,12,8,14,16,20,18,18,20,20,18,20,22,16,18,6,6,8,10,10,12,10,6,6,8,8,14,4,10,4,8,10,8,8,12,6,0,8,26,6,26,20,12,8,4
"65",2,4,28,26,26,28,28,26,28,30,24,26,8,6,4,10,8,6,12,4,2,10,8,10,10,2,8,12,12,8,10,10,8,6,22,24,24,26,26,24,22,28,22,20,6,4,8,6,4,4,12,10,2,8,2,4,10,6,8,6,2,6,4,8,0,26,6,24,18,26,10,6
"66",6,26,28,28,30,30,28,26,32,26,24,2,4,6,4,6,6,8,8,6,4,8,4,2,6,6,6,8,4,10,12,24,22,22,24,24,22,24,26,20,22,6,4,2,8,8,6,6,4,6,6,6,4,8,8,4,6,6,12,10,22,24,24,26,26,0,6,26,24,24,28,6
"67",24,22,28,22,20,2,4,6,10,12,8,10,6,6,8,2,2,4,6,4,4,12,14,28,26,26,28,28,26,28,30,24,26,2,8,12,10,6,8,8,4,10,4,4,6,4,2,6,14,12,26,28,28,30,30,28,26,32,26,24,8,10,8,6,6,6,0,28,18,24,26,6
"68",4,8,2,6,6,2,4,4,12,10,24,26,26,28,28,26,24,30,24,22,12,14,2,12,2,4,10,6,6,2,6,8,4,8,10,30,28,28,30,30,28,30,32,26,28,2,14,12,10,14,2,8,12,12,12,14,10,4,6,24,22,24,26,26,24,26,28,0,16,26,26,4
"69",22,24,12,10,12,12,4,10,14,14,10,12,12,6,4,22,24,26,28,28,26,24,30,24,22,10,4,2,12,8,8,4,4,6,6,10,8,28,30,30,32,32,30,28,34,28,26,10,10,10,8,12,12,8,10,10,16,14,18,20,20,22,22,20,18,24,18,16,0,26,28,8
"70",6,8,4,6,4,4,8,2,6,8,28,26,26,28,28,26,28,30,24,26,12,6,6,2,2,4,4,12,10,28,30,30,32,32,30,28,34,28,26,6,10,10,10,12,8,6,8,24,22,22,24,24,22,24,26,20,22,4,4,4,6,2,10,12,26,24,24,26,26,0,28,10
"71",24,26,28,22,24,4,6,2,4,12,14,30,28,28,30,30,28,30,32,26,28,4,6,2,10,12,30,28,28,30,30,28,30,32,26,28,4,2,10,8,26,28,28,30,30,28,26,32,26,24,6,14,12,28,30,30,32,32,30,28,34,28,26,8,10,28,26,26,28,28,0,2
"72",26,28,30,24,26,2,28,26,28,30,30,28,30,32,26,28,26,28,30,32,32,30,28,34,28,26,2,16,18,18,16,14,20,14,12,14,16,16,14,16,18,12,14,4,2,6,8,6,2,4,6,2,4,2,6,8,8,10,4,4,6,2,4,4,6,6,6,4,8,10,2,0
