"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"38",276,670,426,276,274,246,388,330,558,642,360,162,276,670,426,276,274,246,388,330,558,642,360,162,276,670,114,388,588,274,192,276,588,642,360,360,700,0,672,388,700,388,588,360,84,670,388,588,426,114,246,114,700,672,670,358,276,276,672,672,700,246,360,358,84,700,330,276,558,304,304,642,388,304,162,360,388,276,330,276,276,246,672,360,588,642,700,558,672,360,276,192,276,588,670,426,274,588,304,670,360,192,588,276,330,114,396,276,192,588,274,672,114,360,388,588,330,358,672,558,192,30,276,642,426,358,558,396,246,30
"39",672,538,246,426,622,588,538,342,426,426,396,510,672,538,246,426,622,588,538,342,426,426,396,510,672,538,558,538,246,622,480,396,84,114,426,312,196,672,0,538,226,508,114,426,588,538,508,276,558,558,672,672,538,84,226,622,558,480,426,30,508,510,312,538,672,226,426,588,588,622,622,30,538,592,510,426,592,510,426,396,426,426,114,396,588,114,196,114,312,342,672,480,426,426,538,588,622,396,592,226,480,642,84,480,342,642,276,396,510,558,622,342,588,396,622,246,510,622,396,426,672,672,510,342,276,538,276,588,426,642
"40",358,454,616,112,226,304,0,226,454,538,310,226,358,454,616,112,226,304,0,226,454,538,310,226,358,454,304,112,616,226,226,142,454,538,280,226,454,388,538,0,424,142,424,196,304,342,30,586,616,304,388,358,312,538,342,226,304,226,508,508,454,226,226,30,388,312,310,274,616,196,84,538,112,226,226,280,114,196,226,310,280,142,508,226,586,538,342,454,538,196,358,226,112,424,454,586,226,454,114,454,310,388,454,310,226,388,616,142,196,616,114,508,274,310,196,616,310,114,538,454,358,358,280,538,586,142,616,616,310,388
"41",670,342,304,424,426,616,424,538,454,538,622,538,670,342,304,424,426,616,424,538,454,538,622,538,670,342,616,312,304,426,538,454,142,226,592,538,30,700,226,424,0,342,112,508,616,454,454,274,616,616,700,670,424,226,142,426,616,538,508,196,342,538,538,454,700,112,622,586,616,396,508,226,312,426,538,592,538,508,538,622,592,454,196,538,586,226,142,142,538,508,670,538,424,424,342,586,426,454,538,30,622,700,142,622,538,700,304,454,508,616,538,508,586,622,396,304,622,538,538,454,670,670,592,538,274,342,304,616,622,700
"42",388,342,586,142,114,304,142,226,454,538,280,226,388,342,586,142,114,304,142,226,454,538,280,226,388,342,274,30,586,114,196,112,424,538,310,196,312,388,508,142,342,0,454,226,304,454,112,616,586,274,388,388,454,508,454,114,274,196,538,538,312,226,196,142,388,454,310,304,616,114,226,538,30,84,226,310,196,226,226,280,310,142,538,196,616,538,424,454,508,226,388,196,142,454,342,616,114,424,196,342,280,358,424,280,226,358,616,112,226,586,226,538,304,280,114,586,310,226,508,454,388,388,310,538,616,30,616,616,310,358
"43",558,454,192,312,538,504,424,426,342,426,510,426,558,454,192,312,538,504,424,426,342,426,510,426,558,454,504,424,192,538,426,342,30,114,480,426,142,588,114,424,112,454,0,396,504,454,454,162,504,504,588,558,424,114,142,538,504,426,396,84,454,426,426,454,588,112,510,474,504,508,508,114,424,538,426,480,538,396,426,510,480,342,84,426,474,114,142,30,426,396,558,426,312,312,454,474,538,342,538,142,510,588,30,510,426,588,192,342,396,504,538,396,474,510,508,192,510,538,426,342,558,558,480,426,162,454,192,504,510,588
"44",330,538,588,84,310,276,196,114,426,342,198,198,330,538,588,84,310,276,196,114,426,342,198,198,330,538,276,196,588,310,198,114,426,342,168,114,538,360,426,196,508,226,396,0,276,538,226,558,588,276,360,330,508,342,538,310,276,198,312,396,538,198,114,226,360,508,198,246,588,280,280,426,196,310,198,168,310,168,30,198,168,114,312,30,558,342,538,426,426,84,330,198,84,396,538,558,310,426,310,538,114,360,426,114,114,360,588,114,168,588,310,396,246,198,280,588,114,310,342,426,330,330,84,426,558,226,588,588,198,360
"45",276,586,342,192,358,162,304,246,474,558,360,246,276,586,342,192,358,162,304,246,474,558,360,246,276,586,30,304,504,358,276,192,504,558,360,276,616,84,588,304,616,304,504,276,0,586,304,504,342,30,246,114,616,588,586,358,192,276,588,588,616,246,276,274,84,616,330,192,474,388,388,558,304,388,246,360,388,276,246,360,360,162,588,276,504,558,616,474,588,276,276,276,192,504,586,342,358,504,388,586,360,276,504,360,246,114,312,192,276,504,358,588,30,360,388,504,330,358,588,474,276,114,360,558,342,274,474,312,330,114
"46",700,112,616,454,508,586,342,508,112,196,622,508,700,112,616,454,508,586,342,508,112,196,622,508,700,112,616,454,616,508,538,454,454,508,622,538,454,670,538,342,454,454,454,538,586,0,342,616,304,616,670,700,30,538,312,508,616,538,226,538,142,508,538,312,670,342,592,616,274,538,426,508,454,538,508,622,426,538,508,622,622,424,538,538,304,508,342,424,226,538,700,538,454,142,112,304,508,142,426,424,622,700,454,622,508,700,586,454,538,304,396,226,616,622,538,616,592,396,226,112,700,700,622,196,616,424,586,274,592,700
"47",388,454,586,142,226,304,30,226,454,538,280,226,388,454,586,142,226,304,30,226,454,538,280,226,388,454,274,142,586,226,196,112,424,538,310,196,424,388,508,30,454,112,454,226,304,342,0,616,586,274,388,388,342,508,342,226,274,196,538,538,424,226,196,30,388,342,310,304,616,226,114,538,142,196,226,310,84,226,226,280,310,142,538,196,616,538,312,454,508,226,388,196,142,454,454,616,226,424,84,454,280,358,424,280,226,358,616,112,226,586,114,538,304,280,226,586,310,114,508,454,388,388,310,538,616,142,616,616,310,358
