'hits','time','dataset','length'
5,0.187511920928955,"Vinther2008.nex",76
13,0.5781569480896,"Vinther2008.nex",76
10,0.453151941299438,"Vinther2008.nex",76
60,2.44693994522095,"Vinther2008.nex",76
4,0.125006914138794,"Vinther2008.nex",76
25,1.18755388259888,"Vinther2008.nex",76
6,0.625034093856812,"Vinther2008.nex",76
9,0.5779709815979,"Vinther2008.nex",76
25,1.09380793571472,"Vinther2008.nex",76
12,0.343768835067749,"Vinther2008.nex",76
13,1.14068579673767,"Vinther2008.nex",76
12,0.531280040740967,"Vinther2008.nex",76
9,0.359395980834961,"Vinther2008.nex",76
16,0.653908014297485,"Vinther2008.nex",76
13,0.767874002456665,"Vinther2008.nex",76
9,0.2500159740448,"Vinther2008.nex",76
3,0.0377318859100342,"Vinther2008.nex",76
2,0.0625028610229492,"Vinther2008.nex",76
200,7.62844777107239,"Vinther2008.nex",76
4,0.0781311988830566,"Vinther2008.nex",76
40,1.85931205749512,"Vinther2008.nex",76
9,0.668004989624023,"Vinther2008.nex",76
10,0.140630960464478,"Vinther2008.nex",76
16,0.816749095916748,"Vinther2008.nex",76
2,0.0156259536743164,"Vinther2008.nex",76
5,0.218763828277588,"Vinther2008.nex",76
6,0.453150033950806,"Vinther2008.nex",76
100,3.79678583145142,"Vinther2008.nex",76
11,0.328144073486328,"Vinther2008.nex",76
10,0.453147888183594,"Vinther2008.nex",76
9,0.234390020370483,"Vinther2008.nex",76
12,0.468777179718018,"Vinther2008.nex",76
25,1.03130507469177,"Vinther2008.nex",76
16,1.51983308792114,"Vinther2008.nex",76
200,7.59366488456726,"Vinther2008.nex",76
25,1.14068698883057,"Vinther2008.nex",76
2,0.0781309604644775,"Vinther2008.nex",76
6,0.171885013580322,"Vinther2008.nex",76
40,1.71884298324585,"Vinther2008.nex",76
13,0.444079875946045,"Vinther2008.nex",76
11,0.914909839630127,"Vinther2008.nex",76
16,0.906301021575928,"Vinther2008.nex",76
12,1.09380793571472,"Vinther2008.nex",76
5,0.171883106231689,"Vinther2008.nex",76
8,0.359395980834961,"Vinther2008.nex",76
200,8.68771505355835,"Vinther2008.nex",76
10,0.406271934509277,"Vinther2008.nex",76
2,0.0625059604644775,"Vinther2008.nex",76
15,0.577512979507446,"Vinther2008.nex",76
11,0.406271934509277,"Vinther2008.nex",76
2,0.171889066696167,"Vinther2008.nex",76
16,1.07818293571472,"Vinther2008.nex",76
25,0.954384088516235,"Vinther2008.nex",76
6,0.171885013580322,"Vinther2008.nex",76
9,0.484402894973755,"Vinther2008.nex",76
8,0.2812659740448,"Vinther2008.nex",76
2,0.0781340599060059,"Vinther2008.nex",76
4,0.234389066696167,"Vinther2008.nex",76
2,0.0625059604644775,"Vinther2008.nex",76
8,0.2656409740448,"Vinther2008.nex",76
40,1.95322704315186,"Vinther2008.nex",76
15,0.525565147399902,"Vinther2008.nex",76
3,0.0468828678131104,"Vinther2008.nex",76
60,2.2657458782196,"Vinther2008.nex",76
25,1.20318794250488,"Vinther2008.nex",76
100,3.81190919876099,"Vinther2008.nex",76
15,1.01567888259888,"Vinther2008.nex",76
40,2.68764019012451,"Vinther2008.nex",76
200,7.05493092536926,"Vinther2008.nex",76
15,1.10860705375671,"Vinther2008.nex",76
